Epoch,Before Cost,After Cost
"[0, 154801.59844970703, 148527.25506591797]"
"[1, 156957.56939697266, 150296.84619140625]"
"[2, 152835.02502441406, 145962.1240234375]"
"[3, 162686.76818847656, 155672.77145385742]"
"[4, 158893.201171875, 152583.2523803711]"
"[5, 160129.19366455078, 153514.54470825195]"
"[6, 164208.69927978516, 156727.07794189453]"
"[7, 157413.06353759766, 150359.66217041016]"
"[8, 159718.0137939453, 152357.72607421875]"
"[9, 151187.30102539062, 144828.12280273438]"
"[10, 157967.38177490234, 150691.73770141602]"
"[11, 158243.9161376953, 150248.62506103516]"
"[12, 156631.50091552734, 149913.8983154297]"
"[13, 153899.74182128906, 147130.73175048828]"
"[14, 157390.64651489258, 150126.37271118164]"
"[15, 157954.57482910156, 150439.49151611328]"
"[16, 151675.75, 144533.92742919922]"
"[17, 151716.5391845703, 144736.90209960938]"
"[18, 162057.9864501953, 155195.23614501953]"
"[19, 157040.72540283203, 150113.7783203125]"
"[20, 161370.89471435547, 154194.80834960938]"
"[21, 155344.2781982422, 148386.42642211914]"
"[22, 162231.38018798828, 154505.42095947266]"
"[23, 152535.16662597656, 145699.17169189453]"
"[24, 161443.78454589844, 153807.7462158203]"
"[25, 160663.2182006836, 153433.52349853516]"
"[26, 156292.07037353516, 149989.82034301758]"
"[27, 154176.6036376953, 147041.990234375]"
"[28, 162560.33056640625, 155492.36193847656]"
"[29, 164876.2720336914, 157612.69439697266]"
"[30, 155672.52618408203, 148373.1435546875]"
"[31, 161742.98217773438, 155033.0352783203]"
"[32, 158350.84063720703, 151702.24353027344]"
"[33, 154519.69885253906, 147467.34716796875]"
"[34, 156550.20239257812, 148952.90911865234]"
"[35, 152217.5517578125, 145475.16436767578]"
"[36, 156740.4180908203, 149331.18853759766]"
"[37, 159721.62274169922, 152254.89199829102]"
"[38, 152989.1591796875, 145601.6029663086]"
"[39, 154759.48931884766, 147281.94110107422]"
"[40, 159404.88024902344, 151924.70013427734]"
"[41, 161861.8412475586, 154525.96704101562]"
"[42, 158698.45233154297, 152010.7540283203]"
"[43, 158232.66668701172, 151321.81127929688]"
"[44, 159911.32989501953, 153101.21658325195]"
"[45, 156483.26708984375, 149240.1724243164]"
"[46, 153049.8012084961, 145312.25283813477]"
"[47, 161720.90399169922, 154610.38549804688]"
"[48, 160401.4390258789, 154031.50607299805]"
"[49, 159049.74212646484, 151401.76333618164]"
"[50, 151123.0425415039, 144345.33666992188]"
"[51, 154561.67010498047, 147814.2311706543]"
"[52, 155613.43365478516, 148319.47955322266]"
"[53, 161204.9512939453, 153826.9341430664]"
"[54, 156158.76977539062, 149445.15966796875]"
"[55, 162716.64178466797, 155590.74462890625]"
