Epoch,Before Cost,After Cost
"[0, 156643.3563232422, 149068.38208007812]"
"[1, 153881.79376220703, 147457.1185913086]"
"[2, 168359.5698852539, 161546.59283447266]"
"[3, 152358.08862304688, 145258.99432373047]"
"[4, 155362.37109375, 148514.4337158203]"
"[5, 156531.60314941406, 149214.72235107422]"
"[6, 160792.52026367188, 153582.42736816406]"
"[7, 158329.68676757812, 150784.85736083984]"
"[8, 164091.57061767578, 156314.99380493164]"
"[9, 162123.43646240234, 155696.35482788086]"
"[10, 159287.64520263672, 151959.89208984375]"
"[11, 154973.55950927734, 147754.79125976562]"
"[12, 153296.32623291016, 146057.02743530273]"
"[13, 156950.94024658203, 150084.16674804688]"
"[14, 151666.58447265625, 144355.1466064453]"
"[15, 159461.076171875, 152929.11041259766]"
"[16, 159734.8603515625, 151892.89141845703]"
"[17, 152227.91998291016, 144772.53829956055]"
"[18, 153680.79467773438, 147112.6883239746]"
"[19, 157424.29846191406, 149833.1732788086]"
"[20, 156552.59088134766, 150034.4144897461]"
"[21, 162191.72979736328, 155016.9135131836]"
"[22, 157970.68115234375, 151195.7544555664]"
"[23, 156363.6328125, 148806.00512695312]"
"[24, 154817.5126953125, 147122.263671875]"
"[25, 169046.7933959961, 161738.47299194336]"
"[26, 164993.7778930664, 157751.5542602539]"
"[27, 156074.7606201172, 148248.2470703125]"
"[28, 159609.61358642578, 151174.12329101562]"
"[29, 157402.7677001953, 150530.0277709961]"
"[30, 161347.42449951172, 154084.9296875]"
"[31, 166469.42889404297, 157063.10791015625]"
"[32, 161599.05828857422, 154506.83074951172]"
"[33, 164473.16625976562, 157069.64581298828]"
"[34, 163522.4799194336, 156204.39199829102]"
"[35, 153437.37841796875, 146298.8651123047]"
"[36, 160221.5892944336, 153521.3285522461]"
"[37, 154627.22735595703, 147593.99267578125]"
"[38, 158506.7165222168, 151291.95950317383]"
"[39, 158263.28692626953, 150854.05590820312]"
"[40, 155623.96405029297, 148464.4105834961]"
"[41, 155217.42706298828, 148662.28173828125]"
"[42, 157243.1484375, 150087.25354003906]"
"[43, 159816.79638671875, 152476.45721435547]"
"[44, 160800.27490234375, 153678.41723632812]"
"[45, 154757.04656982422, 147474.5678100586]"
"[46, 161660.34637451172, 154730.4662475586]"
"[47, 151218.56909179688, 143761.66131591797]"
"[48, 163157.09185791016, 155548.0320739746]"
"[49, 156561.41668701172, 149950.64349365234]"
"[50, 156835.74029541016, 148903.22256469727]"
"[51, 164896.2025756836, 157521.5242919922]"
"[52, 159495.97265625, 151280.63409423828]"
"[53, 163638.74591064453, 156179.0492553711]"
"[54, 157517.6688232422, 150513.05407714844]"
"[55, 155744.86779785156, 148903.3814086914]"
"[56, 157239.04650878906, 150046.86627197266]"
"[57, 158000.42419433594, 150152.1528930664]"
"[58, 145915.54077148438, 139155.19665527344]"
"[59, 166642.28619384766, 159032.64093017578]"
"[60, 158566.3598022461, 152939.6452331543]"
"[61, 158195.92095947266, 151263.2826538086]"
"[62, 164149.5336303711, 156714.5831298828]"
"[63, 157984.89910888672, 151415.70196533203]"
"[64, 157837.3709716797, 150108.76837158203]"
"[65, 156400.72790527344, 148513.7204284668]"
"[66, 159105.72216796875, 151634.17065429688]"
"[67, 158251.09393310547, 151123.24505615234]"
"[68, 160459.08068847656, 153509.4276123047]"
"[69, 161790.37756347656, 154441.31060791016]"
"[70, 155145.3504638672, 149213.67022705078]"
"[71, 161425.54388427734, 153835.86395263672]"
"[72, 155173.17059326172, 148004.28155517578]"
"[73, 158418.51873779297, 151332.14688110352]"
"[74, 154659.30047607422, 147090.3907470703]"
"[75, 152057.88348388672, 145330.20755004883]"
"[76, 160364.38830566406, 152354.72979736328]"
"[77, 154607.99243164062, 147058.6261291504]"
"[78, 157644.75756835938, 150678.31201171875]"
"[79, 161210.3731689453, 153568.42645263672]"
"[80, 162302.89709472656, 154804.49353027344]"
"[81, 162248.0340576172, 154645.96014404297]"
"[82, 159986.79327392578, 153393.03240966797]"
"[83, 165102.20538330078, 157533.2384033203]"
"[84, 160844.8681640625, 154284.9702758789]"
"[85, 160408.52282714844, 152306.88696289062]"
"[86, 158551.90795898438, 151736.91290283203]"
"[87, 164935.86883544922, 157868.8959350586]"
"[88, 154027.14422607422, 146552.0658569336]"
"[89, 165514.91284179688, 158721.08724975586]"
"[90, 154631.8468017578, 148114.9765625]"
"[91, 157386.18432617188, 150867.61248779297]"
"[92, 160162.8035888672, 152988.83163452148]"
"[93, 161966.26092529297, 154621.7368774414]"
"[94, 161425.4594116211, 154155.02252197266]"
"[95, 157781.80474853516, 151370.9567565918]"
"[96, 157006.7817993164, 149901.67999267578]"
"[97, 158473.39184570312, 150989.57220458984]"
"[98, 157021.44439697266, 149574.81872558594]"
"[99, 158459.76239013672, 150772.20147705078]"
"[100, 155869.7625732422, 148040.88967895508]"
"[101, 157017.79412841797, 149405.42999267578]"
"[102, 159067.5230102539, 151763.25286865234]"
"[103, 152100.06842041016, 144808.04235839844]"
"[104, 158214.59411621094, 151023.73513793945]"
"[105, 160750.26776123047, 153588.75161743164]"
"[106, 160631.7235107422, 153189.2769165039]"
"[107, 145763.52709960938, 138619.59823608398]"
"[108, 158902.60778808594, 151852.16674804688]"
"[109, 162993.6114501953, 156124.18200683594]"
"[110, 161614.84008789062, 154519.8989868164]"
"[111, 157437.5030517578, 149292.20977783203]"
"[112, 160329.95501708984, 153002.9561767578]"
"[113, 152508.29452514648, 145569.55908203125]"
"[114, 152625.80004882812, 145725.4856262207]"
"[115, 161474.03509521484, 153328.4884033203]"
"[116, 163107.19006347656, 154784.00354003906]"
"[117, 157776.1102294922, 150567.38873291016]"
"[118, 151185.0551147461, 143715.0616455078]"
"[119, 157977.84112548828, 151500.97381591797]"
"[120, 153084.52447509766, 145750.2035522461]"
"[121, 152090.8335571289, 145137.42825317383]"
"[122, 157236.5596923828, 150842.74139404297]"
"[123, 153634.58624267578, 146471.34552001953]"
"[124, 159940.7787475586, 152351.0469970703]"
"[125, 162624.25231933594, 155059.9737548828]"
"[126, 163505.49334716797, 156202.16986083984]"
"[127, 161098.41064453125, 153726.79333496094]"
"[128, 151384.9600830078, 144377.72302246094]"
"[129, 154618.70166015625, 147537.7572631836]"
"[130, 160355.52127075195, 153728.21435546875]"
