Epoch,Before Cost,After Cost
"[0, 219419.18182373047, 152227.70880126953]"
"[1, 224447.46423339844, 156411.66326904297]"
"[2, 217459.1430053711, 151579.2537536621]"
"[3, 224041.04223632812, 157368.5786743164]"
"[4, 219772.6021118164, 152221.54315185547]"
"[5, 222812.96997070312, 157228.10552978516]"
"[6, 219077.57513427734, 154146.2244567871]"
"[7, 216155.45806884766, 153524.08807373047]"
"[8, 220554.81219482422, 153736.31173706055]"
"[9, 231038.1649169922, 161457.38415527344]"
"[10, 225131.96771240234, 158466.04364013672]"
"[11, 209183.64587402344, 145611.69424438477]"
"[12, 209079.16021728516, 146549.52319335938]"
"[13, 213472.9603881836, 150992.65991210938]"
"[14, 224937.83331298828, 160145.6596069336]"
"[15, 221580.65826416016, 156854.95050048828]"
"[16, 215911.4071044922, 151286.87774658203]"
"[17, 215904.87371826172, 151933.6455078125]"
"[18, 214979.17797851562, 152467.68817138672]"
"[19, 219202.99780273438, 151980.34967041016]"
"[20, 230114.02026367188, 160240.29736328125]"
"[21, 220616.72430419922, 156176.5980834961]"
"[22, 223927.24157714844, 158179.9365234375]"
"[23, 223817.59826660156, 157499.55590820312]"
"[24, 212393.5239868164, 150642.35565185547]"
"[25, 217670.52655029297, 154049.830078125]"
"[26, 213961.71295166016, 149541.88543701172]"
"[27, 219978.37969970703, 153219.47357177734]"
"[28, 222890.748046875, 157698.1976928711]"
"[29, 218943.0419921875, 151907.4813232422]"
"[30, 212491.58038330078, 148186.84326171875]"
"[31, 214295.43896484375, 148588.73904418945]"
"[32, 211834.7843017578, 147960.69512939453]"
"[33, 228657.12243652344, 161205.91357421875]"
"[34, 219418.00946044922, 155665.6011352539]"
"[35, 224691.25360107422, 156800.36749267578]"
"[36, 216470.08056640625, 150604.27783203125]"
"[37, 225111.54907226562, 159177.36657714844]"
"[38, 216331.23321533203, 151113.22052001953]"
"[39, 215313.81622314453, 148902.96911621094]"
"[40, 222036.00390625, 157283.5394897461]"
"[41, 221557.73272705078, 158097.43823242188]"
"[42, 219603.94470214844, 156389.3582458496]"
"[43, 222916.57739257812, 154337.37197875977]"
"[44, 209750.6284790039, 148309.6514892578]"
"[45, 223184.4268798828, 156512.5997314453]"
"[46, 211850.4341430664, 149014.9976196289]"
"[47, 216603.98217773438, 151461.99096679688]"
"[48, 216108.5014038086, 150234.38079833984]"
"[49, 202916.4331665039, 142481.19439697266]"
"[50, 223812.95666503906, 156669.16326904297]"
"[51, 216032.56341552734, 148591.2872619629]"
"[52, 220487.35021972656, 155179.94201660156]"
"[53, 220307.39031982422, 154316.00909423828]"
"[54, 223417.81958007812, 157132.61422729492]"
"[55, 210736.36083984375, 147787.70504760742]"
"[56, 213707.0020751953, 149464.4933166504]"
"[57, 217600.2963256836, 153906.82458496094]"
"[58, 214614.94952392578, 149653.0595703125]"
"[59, 208175.3119506836, 146402.63647460938]"
"[60, 224000.15576171875, 157197.2055053711]"
"[61, 211403.49993896484, 149611.66796875]"
"[62, 220090.41833496094, 153687.54748535156]"
"[63, 214380.9295654297, 151512.9356994629]"
"[64, 218138.3521118164, 151398.91479492188]"
"[65, 219988.11651611328, 154184.00073242188]"
"[66, 225780.07971191406, 159025.23303222656]"
"[67, 215926.23736572266, 149270.82513427734]"
"[68, 221037.7705078125, 156731.42559814453]"
"[69, 221595.42669677734, 155685.16680908203]"
