Epoch,Before Cost,After Cost
"[0, 164698.5620727539, 150706.6166381836]"
"[1, 163674.52978515625, 150371.36193847656]"
"[2, 161270.23138427734, 147751.57836914062]"
"[3, 160102.75537109375, 147314.5025024414]"
"[4, 163762.9419555664, 149963.08862304688]"
"[5, 171490.7371826172, 159236.74322509766]"
"[6, 159914.0263671875, 147014.29052734375]"
"[7, 173788.64447021484, 160848.9783935547]"
"[8, 160925.4849243164, 148084.13076782227]"
"[9, 166784.53833007812, 152846.57946777344]"
"[10, 164985.11126708984, 151632.3448486328]"
"[11, 165914.32006835938, 154101.19915771484]"
"[12, 163901.2993774414, 150900.54522705078]"
"[13, 165769.16973876953, 152926.5884399414]"
"[14, 163566.20471191406, 149949.58877563477]"
"[15, 158188.32928466797, 144736.19891357422]"
"[16, 166727.07397460938, 152949.62048339844]"
"[17, 161984.10229492188, 148296.64965820312]"
"[18, 162268.72821044922, 148581.84887695312]"
"[19, 169711.31646728516, 155729.94735717773]"
"[20, 164843.37615966797, 151584.6704711914]"
"[21, 171349.5731201172, 157568.5928955078]"
"[22, 169177.2957763672, 154652.63360595703]"
"[23, 168264.32849121094, 154476.73706054688]"
"[24, 162658.95672607422, 147465.21844482422]"
"[25, 165894.3388671875, 153034.9038696289]"
"[26, 169570.6688232422, 155397.3878173828]"
"[27, 160911.58212280273, 146479.22009277344]"
"[28, 163671.93194580078, 149552.1650390625]"
"[29, 167252.9818725586, 153964.70623779297]"
"[30, 168342.43237304688, 153457.46551513672]"
"[31, 172793.82189941406, 159009.48358154297]"
"[32, 165125.6508178711, 150804.12872314453]"
"[33, 167107.54913330078, 154089.9874267578]"
"[34, 165934.38079833984, 151864.01119995117]"
"[35, 161872.4923095703, 148749.15682983398]"
"[36, 161613.96704101562, 148918.23529052734]"
"[37, 173661.3721923828, 160694.28393554688]"
"[38, 164179.185546875, 149329.08532714844]"
"[39, 159011.11151123047, 146111.64526367188]"
"[40, 166155.69232177734, 152859.09503173828]"
"[41, 166528.91094970703, 153294.51690673828]"
"[42, 167671.2398071289, 155068.13012695312]"
