Epoch,Before Cost,After Cost
"[0, 177229.93688964844, 154786.50131225586]"
"[1, 184022.05834960938, 160109.7632446289]"
"[2, 179208.31506347656, 155398.9189453125]"
"[3, 166973.29638671875, 144541.60696411133]"
"[4, 178979.75958251953, 155611.6011352539]"
"[5, 173103.646484375, 150651.94110107422]"
"[6, 178223.44256591797, 155372.47039794922]"
"[7, 172542.68719482422, 150673.63842773438]"
"[8, 174607.1580810547, 151312.44607543945]"
"[9, 169130.21240234375, 146831.96145629883]"
"[10, 176636.21618652344, 153890.70916748047]"
"[11, 172760.74938964844, 149811.02767944336]"
"[12, 173952.3690185547, 152157.76580810547]"
"[13, 180294.16650390625, 157022.7840576172]"
"[14, 173266.92364501953, 151618.744140625]"
"[15, 176729.8115234375, 152970.7484741211]"
"[16, 170885.38671875, 150093.47357177734]"
"[17, 174929.2041015625, 152250.2211303711]"
"[18, 168160.61694335938, 147000.65075683594]"
"[19, 175527.86053466797, 151737.84619140625]"
"[20, 167642.24884033203, 144439.640625]"
"[21, 180558.19982910156, 158555.89672851562]"
"[22, 181526.265625, 158456.0380859375]"
"[23, 176531.59674072266, 154035.09356689453]"
"[24, 174177.53448486328, 152543.30181884766]"
"[25, 180071.97076416016, 158533.54803466797]"
"[26, 176064.9559326172, 154414.3917236328]"
"[27, 176581.47814941406, 154509.44989013672]"
"[28, 167791.47088623047, 144608.71557617188]"
"[29, 173997.51678466797, 150629.28582763672]"
"[30, 179956.7940673828, 156613.79376220703]"
"[31, 179352.7860107422, 158066.33752441406]"
"[32, 178786.49505615234, 154695.3980102539]"
"[33, 185407.1505126953, 159458.29690551758]"
"[34, 174456.6533203125, 152011.052734375]"
"[35, 182251.404296875, 158222.75439453125]"
"[36, 172945.1187133789, 147850.41513061523]"
"[37, 171312.79223632812, 151144.91137695312]"
"[38, 180500.19677734375, 155963.0372314453]"
"[39, 177738.51739501953, 155198.96435546875]"
"[40, 182740.9619140625, 158072.75555419922]"
"[41, 172891.95025634766, 150907.17376708984]"
"[42, 183677.6845703125, 160589.0916748047]"
"[43, 178020.42248535156, 155600.76330566406]"
"[44, 177594.7680053711, 155091.43487548828]"
"[45, 175780.6216430664, 152052.1707763672]"
"[46, 173795.56805419922, 151268.2547607422]"
"[47, 183154.8130493164, 158148.50469970703]"
"[48, 176114.22772216797, 154299.57592773438]"
"[49, 176756.22283935547, 154218.3984375]"
"[50, 171524.11419677734, 148480.91076660156]"
"[51, 183762.46307373047, 161361.35021972656]"
"[52, 174623.70343017578, 151575.49908447266]"
"[53, 172897.1820678711, 150343.28784179688]"
"[54, 179367.74096679688, 156110.3759765625]"
"[55, 176035.68353271484, 151748.37982177734]"
"[56, 177048.5125732422, 155210.24755859375]"
"[57, 176990.2501220703, 154774.6713256836]"
"[58, 169670.72216796875, 147013.05444335938]"
"[59, 172376.9951171875, 150752.2359008789]"
"[60, 177849.1590576172, 155277.13677978516]"
"[61, 181690.29077148438, 158163.4014892578]"
"[62, 169933.52764892578, 148503.74295043945]"
"[63, 176419.93432617188, 152286.5213623047]"
"[64, 180857.3182373047, 157556.45611572266]"
"[65, 171832.9995727539, 149398.2197265625]"
"[66, 174753.89434814453, 151907.23602294922]"
"[67, 173895.99639892578, 149978.10131835938]"
"[68, 175006.31842041016, 152191.02285766602]"
"[69, 176497.78399658203, 153935.60314941406]"
"[70, 175021.71514892578, 151259.57452392578]"
"[71, 171922.1368408203, 149833.65869140625]"
"[72, 175906.3466796875, 153357.4913330078]"
"[73, 171026.0474243164, 149357.96600341797]"
"[74, 176258.07708740234, 152148.1923828125]"
"[75, 175675.45288085938, 151847.8676147461]"
"[76, 171167.29888916016, 149563.55169677734]"
"[77, 178277.89477539062, 155063.224609375]"
"[78, 175107.41149902344, 153813.94134521484]"
"[79, 170811.94439697266, 148806.833984375]"
"[80, 179857.17279052734, 156158.28094482422]"
"[81, 173645.29852294922, 152735.70922851562]"
"[82, 175609.59704589844, 153538.9178466797]"
"[83, 176842.07000732422, 154238.14068603516]"
"[84, 172979.10162353516, 149729.1967163086]"
"[85, 180217.72943115234, 156820.81219482422]"
"[86, 181833.69598388672, 157794.1890258789]"
"[87, 175709.54907226562, 152711.75527954102]"
"[88, 175192.66143798828, 150607.20208740234]"
"[89, 173980.42309570312, 151380.26489257812]"
"[90, 176780.0760498047, 153712.71099853516]"
"[91, 174804.87475585938, 152504.3735961914]"
"[92, 173882.94958496094, 150685.8233642578]"
"[93, 181078.4393310547, 157039.96347045898]"
"[94, 174405.90795898438, 151127.68157958984]"
"[95, 174717.19415283203, 151377.07958984375]"
"[96, 174112.587890625, 150746.64416503906]"
"[97, 176119.02124023438, 150677.05334472656]"
"[98, 174443.74298095703, 152048.97412109375]"
"[99, 176776.71392822266, 154877.1336669922]"
"[100, 179790.2392578125, 156107.36334228516]"
"[101, 176148.46563720703, 153775.6923828125]"
"[102, 174836.45831298828, 152111.99572753906]"
"[103, 181231.75549316406, 158095.66638183594]"
"[104, 177455.8129272461, 154563.58471679688]"
"[105, 176641.07092285156, 153586.74047851562]"
"[106, 180028.19073486328, 157142.0692138672]"
"[107, 174762.59075927734, 152534.41986083984]"
"[108, 183527.5239868164, 159343.94555664062]"
"[109, 179917.11651611328, 157017.77783203125]"
"[110, 183283.82678222656, 158835.7843017578]"
"[111, 174051.88134765625, 151797.17706298828]"
"[112, 180021.90625, 157681.70892333984]"
"[113, 175921.87145996094, 152494.07305908203]"
"[114, 183699.73120117188, 161436.0493774414]"
"[115, 169672.14739990234, 148100.80224609375]"
"[116, 173014.55017089844, 150382.36883544922]"
"[117, 186695.5675048828, 162485.15673828125]"
"[118, 174096.06420898438, 151182.73370361328]"
"[119, 178510.58111572266, 155526.9273071289]"
"[120, 176514.11059570312, 153201.46392822266]"
"[121, 186486.3384399414, 162204.61547851562]"
"[122, 176134.3739013672, 153602.77780151367]"
"[123, 162932.75848388672, 141095.05615234375]"
"[124, 180255.2567138672, 157609.95971679688]"
"[125, 172288.2655029297, 148563.17401123047]"
"[126, 172632.4532470703, 150817.45306396484]"
"[127, 172623.8998413086, 149651.06158447266]"
"[128, 177347.2720336914, 154115.05047607422]"
"[129, 183030.66082763672, 158659.9981689453]"
"[130, 175131.00317382812, 153485.21313476562]"
"[131, 168002.42669677734, 145189.79235839844]"
"[132, 172518.19750976562, 149744.0616455078]"
"[133, 178320.58813476562, 156239.45330810547]"
"[134, 174940.15551757812, 152776.80548095703]"
