0,814.6102905273438,770.127197265625,0.00027921510632916886
0,229.0,229.0,8.30255827562028e-05
0,229.0,229.0,8.30255827562028e-05
0,4314.0,4314.0,0.0015640714585600827
0,4314.0,4250.0,0.0015408678022439386
0,4314.0,4314.0,0.0015640714585600827
1,4314.0,4309.0,0.0015622586729103838
2,4314.0,4314.0,0.0015640714585600827
3,4314.0,4314.0,0.0015640714585600827
4,4314.0,4314.0,0.0015640714585600827
5,4314.0,4314.0,0.0015640714585600827
6,4314.0,4314.0,0.0015640714585600827
7,4314.0,4314.0,0.0015640714585600827
8,4314.0,4314.0,0.0015640714585600827
9,4314.0,4314.0,0.0015640714585600827
10,4314.0,4314.0,0.0015640714585600827
"[0, 4210.0, 4210.0]"
"[1, 4271.0, 4271.0]"
"[2, 4230.0, 4230.0]"
"[3, 4259.0, 4259.0]"
"[4, 4228.0, 4228.0]"
"[5, 4231.0, 4231.0]"
"[6, 4213.0, 4213.0]"
"[7, 4195.0, 4195.0]"
"[8, 4194.0, 4194.0]"
"[9, 4269.0, 4269.0]"
"[10, 3923.0, 3923.0]"
"[0, 4381.0, 4381.0]"
"[1, 4188.0, 4188.0]"
"[0, 4218.0, 4218.0]"
"[1, 4235.0, 4235.0]"
"[0, 4201.0, 4201.0]"
"[1, 4201.0, 4201.0]"
"[0, 4201.0, 4201.0]"
"[1, 4180.0, 4180.0]"
"[0, 4207.0, 4207.0]"
"[1, 4210.0, 4210.0]"
"[0, 4183.0, 4183.0]"
"[1, 4244.0, 4244.0]"
"[0, 4252.0, 4252.0]"
"[1, 4226.0, 4226.0]"
"[0, 4096.0, 4019.0]"
"[1, 4196.0, 4196.0]"
"[0, 4241.0, 4241.0]"
"[1, 4196.0, 4196.0]"
"[0, 4227.0, 4227.0]"
"[1, 4196.0, 4196.0]"
"[0, 37951864.0, 33499290.0]"
"[1, 34597980.0, 32445750.0]"
"[2, 39170188.0, 35569740.0]"
"[3, 37560540.0, 36226260.0]"
"[4, 35757000.0, 34393680.0]"
"[5, 34131808.0, 31364190.0]"
"[6, 36138840.0, 36047940.0]"
"[7, 35461680.0, 33767368.0]"
"[8, 35956412.0, 33796048.0]"
"[9, 35565120.0, 32279220.0]"
"[10, 33776520.0, 32602590.0]"
"[11, 33355050.0, 31618890.0]"
"[12, 34611272.0, 31901010.0]"
"[13, 36436472.0, 34995540.0]"
"[14, 33250050.0, 32562690.0]"
"[15, 35016448.0, 32425200.0]"
"[16, 35597128.0, 33353340.0]"
"[17, 36130864.0, 34937608.0]"
"[18, 34231232.0, 33614968.0]"
"[19, 35724956.0, 30232560.0]"
"[0, 35573696.0, 34150288.0]"
"[1, 35226180.0, 33650100.0]"
"[2, 35070328.0, 32112210.0]"
"[3, 35226300.0, 32259600.0]"
"[4, 34973792.0, 33251760.0]"
"[5, 35746020.0, 34200480.0]"
"[6, 34337100.0, 32592900.0]"
"[7, 35881528.0, 32491140.0]"
"[8, 34497900.0, 34399860.0]"
"[9, 35981972.0, 34417832.0]"
"[10, 37092692.0, 36837932.0]"
"[11, 36881728.0, 33914160.0]"
"[12, 33973620.0, 32858310.0]"
"[13, 34665600.0, 33487770.0]"
"[14, 37733308.0, 36095792.0]"
"[15, 34974180.0, 30900690.0]"
"[16, 33560368.0, 32555100.0]"
"[17, 35941380.0, 35868360.0]"
"[18, 35563080.0, 32130600.0]"
"[19, 33725312.0, 29601090.0]"
"[0, 35689080.0, 35689080.0]"
"[0, 18548280.0, 18460050.0]"
"[0, 19193520.0, 19193520.0]"
"[0, 35548984.0, 35548984.0]"
"[0, 16936920.0, 16936920.0]"
"[0, 36973800.0, 36973800.0]"
"[0, 29795880.0, 27958500.0]"
"[0, 31300890.0, 29066250.0]"
"[0, 29067840.0, 28720080.0]"
"[0, 29530560.0, 29530560.0]"
"[0, 30156930.0, 30156930.0]"
"[0, 28853490.0, 28853490.0]"
"[0, 37426712.0, 37426712.0]"
"[0, 34191392.0, 34191392.0]"
"[0, 35847540.0, 35847540.0]"
"[0, 34973008.0, 34793728.0]"
"[0, 35422860.0, 35399940.0]"
"[0, 35289060.0, 35133360.0]"
"[0, 34987288.0, 34362328.0]"
"[0, 39543420.0, 39543420.0]"
"[1, 36136140.0, 35466088.0]"
"[2, 34150288.0, 33106170.0]"
"[3, 36722912.0, 35267460.0]"
"[4, 35549608.0, 35549608.0]"
"[0, 44387880.0, 35829568.0]"
"[1, 45611728.0, 38023232.0]"
"[2, 46072020.0, 38034660.0]"
"[3, 43719268.0, 37267024.0]"
"[4, 45977544.0, 37599808.0]"
"[0, 10605570.0, 10605570.0]"
"[0, 10605570.0, 10605570.0]"
"[0, 10605570.0, 10605570.0]"
"[0, 10605570.0, 10605570.0]"
"[0, 10605570.0, 10605570.0]"
"[0, 52088.23828125, 52088.23828125]"
"[1, 119786.8125, 119786.8125]"
"[2, 81749.203125, 81680.203125]"
"[3, 125132.4375, 122844.4765625]"
"[4, 78685.15625, 78233.15625]"
"[0, 59054.23828125, 53636.51953125]"
"[1, 96899.7578125, 89270.0390625]"
"[2, 80947.125, 80156.046875]"
"[3, 121879.375, 117289.515625]"
"[4, 77185.1953125, 76636.078125]"
"[5, 76112.609375, 76112.609375]"
"[6, 127552.375, 127338.40625]"
"[7, 98976.0859375, 98859.0859375]"
"[8, 147031.359375, 141549.4375]"
"[9, 111040.453125, 108240.59375]"
"[10, 91525.6953125, 90353.734375]"
"[11, 99497.28125, 99130.359375]"
"[12, 140407.5625, 137519.59375]"
"[13, 104399.953125, 103898.90625]"
"[14, 149995.921875, 144416.9375]"
"[15, 88054.1640625, 87878.1640625]"
"[16, 85890.6484375, 85849.6484375]"
"[17, 138225.640625, 135855.484375]"
"[18, 82842.5625, 82842.5625]"
"[19, 92899.8984375, 89287.890625]"
"[20, 51595.1171875, 49913.2734375]"
"[21, 70792.15625, 68319.328125]"
"[22, 142428.453125, 138208.421875]"
"[23, 105466.09375, 104426.0078125]"
"[24, 121130.3671875, 120968.3671875]"
"[25, 136757.40625, 129948.5546875]"
"[26, 95522.453125, 95522.453125]"
"[27, 92988.328125, 92988.3203125]"
"[28, 102735.0546875, 92606.2890625]"
"[29, 110831.0625, 103955.2109375]"
"[30, 125611.7734375, 124971.734375]"
"[31, 115577.65625, 114969.640625]"
"[32, 86990.9296875, 86990.9296875]"
"[33, 79504.046875, 79504.046875]"
"[34, 143258.921875, 129686.1484375]"
"[35, 176962.4375, 172640.46875]"
"[36, 181187.53125, 167684.5625]"
"[37, 137679.484375, 137486.484375]"
"[38, 88316.484375, 87836.484375]"
"[39, 102582.734375, 98179.890625]"
