Epoch,Before Cost,After Cost
"[0, 145422.59375, 145402.59375]"
"[1, 149570.3125, 143661.46875]"
"[2, 132420.28125, 131306.953125]"
"[3, 179165.453125, 179159.4375]"
"[4, 206158.546875, 206098.53125]"
"[5, 132737.5, 132735.5]"
"[6, 86882.375, 82514.6015625]"
"[7, 144037.6875, 140390.5]"
"[8, 121121.015625, 116311.21875]"
"[9, 85698.890625, 85657.8828125]"
"[10, 156663.03125, 147074.765625]"
"[11, 91955.3359375, 91955.3359375]"
"[12, 172457.421875, 172373.921875]"
"[13, 156381.890625, 150216.90625]"
"[14, 188301.6875, 186084.46875]"
"[15, 114467.7265625, 110876.765625]"
"[16, 166917.296875, 166906.28125]"
"[17, 165252.734375, 164823.34375]"
"[18, 133347.5625, 126831.1953125]"
"[19, 166669.3125, 166596.3125]"
"[20, 107614.234375, 107574.234375]"
"[21, 102149.7265625, 101140.0078125]"
"[22, 120416.0625, 117761.3125]"
"[23, 89585.0078125, 87947.765625]"
"[24, 223350.40625, 223250.40625]"
"[25, 137205.09375, 136996.078125]"
"[26, 160615.6875, 160585.4375]"
"[27, 163257.640625, 163138.640625]"
"[28, 107672.34375, 107287.7578125]"
"[29, 98811.1796875, 98413.296875]"
"[30, 94009.3828125, 92495.0234375]"
"[31, 74371.9609375, 74278.9609375]"
"[32, 105866.8203125, 103978.9765625]"
"[33, 101284.1796875, 94684.1875]"
"[34, 92120.25, 91974.25]"
"[35, 102786.0859375, 100417.234375]"
"[36, 128042.9609375, 126834.390625]"
"[37, 134391.375, 134311.8125]"
"[38, 140029.46875, 139657.6875]"
"[39, 157188.125, 156883.125]"
"[40, 126728.546875, 126614.3203125]"
"[41, 105310.984375, 104002.421875]"
"[42, 122459.984375, 116938.8125]"
"[43, 68523.4375, 66464.921875]"
"[44, 130385.7421875, 127936.9609375]"
"[45, 73247.578125, 70695.109375]"
"[46, 117134.09375, 116838.1015625]"
"[47, 150581.125, 150581.125]"
"[48, 122496.4296875, 122213.7109375]"
"[49, 168879.515625, 168869.890625]"
"[50, 138271.734375, 134963.09375]"
"[51, 266978.5, 266765.0625]"
"[52, 160887.09375, 160855.09375]"
"[53, 188530.09375, 188382.890625]"
"[54, 120497.1484375, 120497.140625]"
"[55, 79764.859375, 75349.3125]"
"[56, 141017.46875, 138267.75]"
"[57, 192092.9375, 190415.5]"
"[58, 179668.203125, 177721.171875]"
"[59, 88041.5859375, 87520.15625]"
"[60, 200340.78125, 200001.6875]"
"[61, 119550.0546875, 117551.1328125]"
"[62, 113576.609375, 113231.609375]"
"[63, 139970.9375, 136965.1875]"
"[64, 84602.6953125, 82136.9375]"
"[65, 80291.1953125, 76964.109375]"
"[66, 107682.640625, 106906.2890625]"
"[67, 134071.84375, 134047.859375]"
"[68, 144535.40625, 143035.1875]"
"[69, 117123.265625, 116596.1171875]"
"[70, 195893.0625, 194429.0]"
"[71, 210589.34375, 210432.359375]"
"[72, 179550.421875, 177584.953125]"
"[73, 104586.1953125, 100044.375]"
"[74, 113091.28125, 110071.796875]"
"[75, 244634.28125, 244245.28125]"
"[76, 143478.8125, 143458.796875]"
"[77, 133541.3125, 130980.0234375]"
"[78, 155684.90625, 150538.734375]"
"[79, 171581.75, 167824.375]"
"[80, 73062.609375, 71675.40625]"
"[81, 213558.609375, 210235.5]"
"[82, 116765.1328125, 113898.4453125]"
"[83, 156345.734375, 153085.6875]"
"[84, 133111.640625, 133071.625]"
"[85, 112582.75, 106149.6640625]"
"[86, 179387.90625, 179075.1875]"
"[87, 191454.546875, 191300.46875]"
"[88, 71885.1328125, 70077.484375]"
"[89, 226093.40625, 223530.078125]"
"[90, 175352.296875, 170820.53125]"
"[91, 138870.515625, 136886.25]"
"[92, 80468.5234375, 74861.84375]"
"[93, 170745.296875, 162064.65625]"
"[94, 136094.34375, 134032.375]"
"[95, 209865.96875, 201887.25]"
"[96, 103725.3671875, 103499.4140625]"
"[97, 205328.484375, 198592.53125]"
"[98, 122685.7890625, 120001.078125]"
"[99, 219767.75, 219101.703125]"
"[100, 213278.390625, 211273.203125]"
"[101, 101441.9140625, 101441.90625]"
"[102, 168283.109375, 168185.109375]"
"[103, 189044.71875, 188899.296875]"
"[104, 122333.03125, 115246.40625]"
"[105, 138942.46875, 138880.875]"
"[106, 97550.1953125, 94917.78125]"
"[107, 204847.03125, 204847.03125]"
"[108, 133356.84375, 133312.875]"
"[109, 119557.796875, 115418.03125]"
"[110, 166139.1875, 164937.53125]"
"[111, 125956.671875, 123013.5859375]"
"[112, 177620.203125, 177620.1875]"
"[113, 147235.5, 141525.59375]"
"[114, 133514.46875, 133071.625]"
"[115, 164215.890625, 159517.96875]"
"[116, 67401.140625, 65857.1875]"
"[117, 111789.671875, 111789.6640625]"
"[118, 148351.359375, 148284.25]"
"[119, 95569.3515625, 94830.3203125]"
"[120, 141153.9375, 137980.84375]"
