Epoch,Before Cost,After Cost
"[0, 128041.953125, 126834.3984375]"
"[1, 183421.625, 181442.21875]"
"[2, 109148.609375, 108668.078125]"
"[3, 186825.1875, 179589.171875]"
"[4, 191827.71875, 191815.453125]"
"[5, 242036.21875, 242036.203125]"
"[6, 126780.2734375, 126780.2734375]"
"[7, 169357.453125, 169357.453125]"
"[8, 115250.4453125, 115202.828125]"
"[9, 107763.609375, 107763.609375]"
"[10, 123548.390625, 123479.390625]"
"[11, 86737.8671875, 86534.328125]"
"[12, 186793.296875, 186793.296875]"
"[13, 172138.875, 172107.875]"
"[14, 102996.875, 102896.875]"
"[15, 117944.5859375, 117944.5859375]"
"[16, 172403.4375, 172223.015625]"
"[17, 156371.953125, 155509.234375]"
"[18, 228507.765625, 228507.765625]"
"[19, 182060.875, 181429.875]"
"[20, 170183.046875, 170157.0625]"
"[21, 128452.953125, 128452.953125]"
"[22, 121369.578125, 120801.0]"
"[23, 156330.46875, 156243.34375]"
"[24, 187422.046875, 187422.046875]"
"[25, 79055.7890625, 77868.9453125]"
"[26, 137285.109375, 137061.65625]"
"[27, 149598.578125, 149598.578125]"
"[28, 223970.53125, 221153.8125]"
"[29, 138979.90625, 138754.640625]"
"[30, 89431.6640625, 88844.234375]"
"[31, 196976.875, 196976.875]"
"[32, 97882.6796875, 97862.6796875]"
"[33, 143847.71875, 143781.71875]"
"[34, 101691.7890625, 101489.453125]"
"[35, 224187.28125, 224187.265625]"
"[36, 100636.984375, 96948.359375]"
"[37, 223609.25, 223609.25]"
"[38, 126188.609375, 126044.453125]"
"[39, 179905.21875, 179905.21875]"
"[40, 136238.0, 136157.375]"
"[41, 226556.5, 226507.625]"
"[42, 215802.796875, 215789.78125]"
"[43, 131851.25, 130636.5390625]"
"[44, 165533.953125, 165465.953125]"
"[45, 139552.8125, 139307.09375]"
"[46, 206737.59375, 206737.578125]"
"[47, 138825.8125, 138825.8125]"
"[48, 164953.484375, 164803.484375]"
"[49, 128052.03125, 127753.03125]"
"[50, 135128.0625, 131847.75]"
"[51, 146494.6875, 146494.6875]"
"[52, 175311.578125, 175141.953125]"
"[53, 96823.90625, 96823.8984375]"
"[54, 200298.109375, 200277.203125]"
"[55, 131797.625, 129146.2734375]"
"[56, 103941.609375, 103182.1328125]"
"[57, 188029.265625, 187982.25]"
"[58, 217841.671875, 217813.671875]"
"[59, 118020.71875, 118020.71875]"
"[60, 192056.1875, 192056.1875]"
"[61, 137283.375, 137283.375]"
"[62, 94318.2734375, 94318.2734375]"
"[63, 193759.890625, 193759.890625]"
"[64, 174764.34375, 174764.34375]"
"[65, 166457.125, 166360.28125]"
"[66, 102743.0859375, 102743.0859375]"
"[67, 189942.5, 189852.28125]"
"[68, 133906.15625, 133906.15625]"
"[69, 77996.140625, 77808.8515625]"
"[70, 175481.71875, 175481.71875]"
"[71, 156247.25, 156247.25]"
"[72, 179992.625, 176534.953125]"
"[73, 165011.484375, 165011.484375]"
"[74, 180664.625, 180664.609375]"
"[75, 249725.078125, 249725.078125]"
"[76, 129697.4296875, 129657.4296875]"
"[77, 148684.0, 148112.0]"
"[78, 146217.515625, 146111.515625]"
"[79, 189086.296875, 189026.296875]"
"[80, 113563.9921875, 113480.875]"
"[81, 130432.53125, 130271.78125]"
"[82, 134236.828125, 134091.75]"
"[83, 123959.53125, 123926.28125]"
"[84, 170042.875, 170042.875]"
"[85, 222955.453125, 222955.453125]"
"[86, 177378.5, 177161.3125]"
"[87, 128400.15625, 128393.1484375]"
"[88, 102968.0703125, 102968.0703125]"
"[89, 230103.96875, 230103.96875]"
"[90, 230447.78125, 228768.859375]"
"[91, 164202.640625, 164202.640625]"
"[92, 144158.9375, 143316.40625]"
"[93, 104224.734375, 104174.734375]"
"[94, 184859.0625, 184849.0]"
"[95, 158712.390625, 156869.859375]"
"[96, 128713.484375, 127364.921875]"
"[97, 152512.828125, 152434.84375]"
"[98, 172844.28125, 172844.28125]"
"[99, 212012.65625, 212011.65625]"
"[100, 129466.75, 129466.75]"
"[101, 64400.69140625, 63342.72265625]"
"[102, 104705.0390625, 104705.03125]"
"[103, 147990.84375, 147990.84375]"
"[104, 115207.7421875, 115111.7421875]"
"[105, 202318.09375, 201102.65625]"
"[106, 202351.875, 200073.90625]"
"[107, 117483.8828125, 117483.8828125]"
"[108, 99494.25, 99465.25]"
"[109, 154362.390625, 154340.59375]"
"[110, 193036.25, 193036.25]"
"[111, 166687.421875, 166679.421875]"
"[112, 139557.125, 139445.96875]"
"[113, 113535.4140625, 113471.4140625]"
"[114, 134307.625, 134193.9375]"
"[115, 203137.96875, 203137.96875]"
"[116, 133719.6875, 133719.6875]"
"[117, 123759.453125, 123731.2734375]"
"[118, 139364.40625, 137532.484375]"
"[119, 171702.21875, 171702.21875]"
"[120, 137584.15625, 137522.640625]"
"[121, 195238.140625, 195238.140625]"
"[122, 125280.3203125, 121127.1640625]"
"[123, 154281.4375, 154140.53125]"
"[124, 193437.390625, 193114.203125]"
"[125, 121119.53125, 121119.53125]"
"[126, 183561.734375, 178909.234375]"
"[127, 135188.5625, 132541.78125]"
"[128, 137441.0625, 137441.0625]"
"[129, 151410.546875, 151380.5]"
"[130, 184833.328125, 184707.328125]"
"[131, 139703.8125, 139647.8125]"
"[132, 92647.765625, 92580.9609375]"
"[133, 155927.015625, 153110.046875]"
"[134, 122840.21875, 120137.140625]"
"[135, 127818.0078125, 127767.0078125]"
"[136, 191977.140625, 191919.125]"
"[137, 136115.71875, 135942.71875]"
"[138, 102775.0078125, 102656.421875]"
"[139, 182596.0, 182596.0]"
"[140, 112026.1015625, 111991.09375]"
"[141, 185525.9375, 185525.9375]"
"[142, 98878.6015625, 96394.9453125]"
"[143, 138873.75, 138873.75]"
"[144, 173225.15625, 173105.671875]"
"[145, 121673.8359375, 119668.2734375]"
"[146, 142511.140625, 142362.140625]"
"[147, 108985.9375, 107532.7421875]"
"[148, 145864.328125, 145864.328125]"
"[149, 142451.65625, 142431.65625]"
"[150, 141292.84375, 141292.84375]"
