Epoch,Before Cost,After Cost
"[0, 157434.4375, 156358.375]"
"[1, 220097.421875, 220097.421875]"
"[2, 107222.171875, 107054.0546875]"
"[3, 140553.0625, 134507.234375]"
"[4, 147259.34375, 147259.34375]"
"[5, 130467.390625, 130467.3828125]"
"[6, 275538.71875, 270318.0]"
"[7, 165424.15625, 162198.296875]"
"[8, 78429.984375, 77250.5]"
"[9, 212527.140625, 212470.140625]"
"[10, 202561.71875, 201847.640625]"
"[11, 123236.640625, 120959.5078125]"
"[12, 134450.828125, 134318.828125]"
"[13, 116048.15625, 114672.3984375]"
"[14, 131297.296875, 131297.296875]"
"[15, 177083.4375, 174705.15625]"
"[16, 129710.8125, 129531.8046875]"
"[17, 107301.7890625, 107221.3671875]"
"[18, 126374.8125, 126291.796875]"
"[19, 105490.375, 103906.5390625]"
"[20, 165109.046875, 164829.078125]"
"[21, 129845.265625, 128919.7421875]"
"[22, 127616.546875, 127616.546875]"
"[23, 142175.125, 142056.109375]"
"[24, 137865.75, 136197.71875]"
"[25, 160376.96875, 160355.96875]"
"[26, 211219.328125, 211219.328125]"
"[27, 98393.96875, 98359.9609375]"
"[28, 156955.328125, 150412.0625]"
"[29, 177397.390625, 177397.390625]"
"[30, 135358.625, 135222.625]"
"[31, 132617.6875, 131691.3125]"
"[32, 169081.46875, 169079.453125]"
"[33, 101740.1171875, 101599.1171875]"
"[34, 141887.53125, 141887.53125]"
"[35, 121624.8125, 115341.1796875]"
"[36, 133487.5, 133487.265625]"
"[37, 164050.515625, 159828.515625]"
"[38, 249198.671875, 249113.671875]"
"[39, 126514.0078125, 126514.0078125]"
"[40, 105137.5, 105126.8359375]"
"[41, 151464.4375, 151311.4375]"
"[42, 169880.171875, 167401.09375]"
"[43, 111606.578125, 110746.171875]"
"[44, 147733.0, 143104.90625]"
"[45, 165371.5625, 159750.203125]"
"[46, 136303.515625, 136253.03125]"
"[47, 145261.5625, 145261.5625]"
"[48, 162607.828125, 162543.828125]"
"[49, 200967.515625, 198395.578125]"
"[50, 138653.625, 135394.328125]"
"[51, 108687.0390625, 106210.9609375]"
"[52, 102457.703125, 102457.6953125]"
"[53, 127211.4765625, 126970.1171875]"
"[54, 129342.484375, 129019.3046875]"
"[55, 134290.0625, 134179.265625]"
"[56, 166752.03125, 165789.5]"
"[57, 112278.6796875, 112278.6796875]"
"[58, 174244.515625, 174244.515625]"
"[59, 142434.21875, 142285.421875]"
"[60, 191753.875, 189588.390625]"
"[61, 98408.9375, 95688.84375]"
"[62, 93399.7578125, 93399.7578125]"
"[63, 99498.09375, 99498.09375]"
"[64, 102614.2734375, 102614.2734375]"
"[65, 122333.9453125, 122250.9375]"
"[66, 139849.84375, 138589.84375]"
"[67, 122049.765625, 119319.2890625]"
"[68, 205144.625, 205144.609375]"
"[69, 147571.15625, 147531.15625]"
"[70, 126336.9375, 126336.9296875]"
"[71, 232218.6875, 232183.296875]"
